	Tue Jun 10 06:30 2014 Time and Allocation Profiling Report  (Final)

	   safe-sim +RTS -p -RTS -Iisa/code/IsaTests -Iisa/code/safelib isa/code/IsaTests/DCache_issue.asm

	total time  =        5.17 secs   (5169 ticks @ 1000 us, 1 processor)
	total alloc = 3,258,705,280 bytes  (excludes profiling overheads)

COST CENTRE                MODULE      %time %alloc

getRawReg                  Register     14.2   21.0
runOptions.(...)           Command       8.2    6.0
setRawReg                  Register      7.1    8.7
runOptions                 Command       3.9    9.5
isLive                     Register      3.2    3.1
getReg                     Register      2.6    2.4
step                       Processor     2.6    0.5
checkWriteWatchpoint       Memory        2.5    4.2
commit                     Commit        2.4    0.7
getTmuInputs               TMU           2.2    2.4
decodeInstruction          Decoder       2.0    1.2
run1                       Debugger      1.7    0.8
dbgMsgLn                   Message       1.5    2.4
runInstruction             Processor     1.4    0.6
isFieldDontCare            GroundRules   1.4    0.0
instructionSpecificInputs' TMU           1.4    0.1
pointer                    Pointer       1.4    0.9
getsProcState              Atom          1.4    0.0
tmuCheck                   TMU           1.3    0.8
updateRegisterTags         TMU           1.2    0.5
displayInstruction         Processor     1.2    1.1
runOptions.fnla            Command       1.2    4.4
fetch                      Processor     1.1    0.7
commitInstruction          Commit        1.1    0.4
handlePossiblePcForwarding Processor     1.0    1.0
getMemory                  Memory        0.9    2.0
readTP                     Register      0.5    2.0
getDebugState              Atom          0.5    1.0


                                                                                                                    individual     inherited
COST CENTRE                                      MODULE                                           no.     entries  %time %alloc   %time %alloc

        alDebugState                             Atom                                            1484       32336    0.1    0.0     0.1    0.0
      modifyDS                                   Atom                                            1468           0    0.1    0.0     0.1    0.0
      setProcState                               Atom                                            1466       32337    0.0    0.0     0.0    0.0
      getProcState                               Atom                                            1465           0    0.0    0.0     0.1    0.0
       alProcState                               Atom                                            1476       32337    0.1    0.0     0.1    0.0
      step                                       Processor                                        797           0    2.6    0.5    81.3   76.3
       runInstruction                            Processor                                       1149       32337    1.4    0.6    35.0   34.1
        updateTags                               TMU                                             1368       32337    0.6    0.5     8.3    8.0
         updateRegisterTags                      TMU                                             1377       32337    1.2    0.5     6.5    6.4
          op2                                    Atom                                            1713       17428    0.0    0.0     0.0    0.0
          op1                                    Atom                                            1645       27802    0.0    0.0     0.0    0.0
          updateTagOnWith                        TMU                                             1383       64555    0.3    0.4     4.8    5.9
           regOffset                             Register                                        1460           0    0.1    0.0     0.1    0.0
           setRawReg                             Register                                        1449       19388    0.0    0.0     0.0    0.0
           setLive                               Register                                        1421       19388    0.1    0.0     0.1    0.0
           setReg                                Register                                        1408       19388    0.4    0.3     2.6    3.8
            setRawReg                            Register                                        1450           0    0.1    0.5     0.2    0.9
             getMemory                           Memory                                          1463           0    0.0    0.0     0.0    0.0
              alMem                              Atom                                            1464       19388    0.0    0.0     0.0    0.0
             checkWriteWatchpoint                Memory                                          1458       19388    0.0    0.2     0.1    0.3
              watchpoints                        Atom                                            1461       19388    0.0    0.0     0.0    0.0
              getDebugState                      Atom                                            1459           0    0.0    0.0     0.0    0.0
               alDebugState                      Atom                                            1462       19388    0.0    0.0     0.0    0.0
             active                              Atom                                            1457       19388    0.0    0.0     0.0    0.0
             alUart                              Atom                                            1456       19388    0.0    0.0     0.0    0.0
             getsUartState                       Atom                                            1455       19388    0.0    0.0     0.0    0.0
             readTP                              Register                                        1451           0    0.0    0.0     0.0    0.0
              getsProcState                      Atom                                            1452           0    0.0    0.0     0.0    0.0
