[root@titan:~]# ps axwww
  PID TTY      STAT   TIME COMMAND
18284 ?        S      0:00 [kworker/u16:1]
18286 ?        S      0:00 [kworker/6:0]
18301 ?        S      0:00 [kworker/u16:2]
18309 ?        Rs     0:00 sshd: root@pts/1
18311 pts/1    Ss     0:00 -bash
18555 pts/1    R+     0:00 ps axwww
23370 ?        Ss     0:00 bash -e /nix/store/9krlzvny65gdc8s7kpb6lkx8cd02c25b-default-builder.sh
27116 ?        S      0:00 xargs -0 -r strip --enable-deterministic-archives -S
27119 ?        S      0:00 strip --enable-deterministic-archives -S /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/gems/rake-0.9.2.2/bin/rake /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/gems/rdoc-3.9.5/bin/rdoc /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/gems/rdoc-3.9.5/bin/ri /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/specifications/minitest-2.5.1.gemspec /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/specifications/json-1.5.5.gemspec /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/specifications/bigdecimal-1.1.0.gemspec /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/specifications/io-console-0.3.gemspec /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/specifications/rake-0.9.2.2.gemspec /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/gems/1.9.1/specifications/rdoc-3.9.5.gemspec /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/source_index.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/remote_fetcher.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/mock_gem_ui.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/validator.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/version_option.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/format.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/gem_path_searcher.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/ssl_certs/ca-bundle.pem /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/old_format.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/gemcutter_utilities.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/spec_fetcher.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/text.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/requirement.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/deprecate.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/test_case.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/builder.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/psych_tree.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/gem_runner.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/path_support.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/ext/rake_builder.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/ext/builder.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/ext/ext_conf_builder.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/ext/configure_builder.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/dependency.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/ext.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/local_remote_options.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/package.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/exceptions.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/security.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nzri5-ruby-1.9.3-p484/lib/ruby/1.9.1/rubygems/package/tar_writer.rb /nix/store/hn7b7jwmbkipspzfkzkj2qcnvc7nz
29084 ?        Zs     0:00 [bash] <defunct>
30043 ?        Zs     0:00 [bash] <defunct>
